imo,position_dt_tm,latitude,longitude
9595321,2019-01-13 18:49:20+00,16.23463249,-61.53775024
9595321,2019-01-13 18:40:18+00,16.23463249,-61.53775024
9595321,2019-01-13 18:28:18+00,16.23463249,-61.53775024
9595321,2019-01-13 18:10:18+00,16.23463249,-61.5377655
9595321,2019-01-13 17:52:19+00,16.23463249,-61.5377655
9595321,2019-01-13 17:46:21+00,16.23463249,-61.5377655
9632179,2019-01-13 17:44:13+00,44.59840012,-8.753749847
9595321,2019-01-13 17:34:21+00,16.23463249,-61.5377655
9632179,2019-01-13 17:17:41+00,44.48389816,-8.839933395
9595321,2019-01-13 17:16:20+00,16.23463249,-61.5377655
9595321,2019-01-13 16:58:20+00,16.23463249,-61.5377655
9595321,2019-01-13 16:52:20+00,16.23463249,-61.5377655
9595321,2019-01-13 16:40:18+00,16.23463249,-61.53775024
9595321,2019-01-13 16:22:20+00,16.23463249,-61.53775024
9595321,2019-01-13 16:01:19+00,16.23463249,-61.53775024
9595321,2019-01-13 15:52:19+00,16.23463249,-61.53775024
9595321,2019-01-13 15:37:19+00,16.23463249,-61.53775024
9595321,2019-01-13 15:25:20+00,16.23463249,-61.53775024
9632179,2019-01-13 15:21:59+00,43.980617,-9.199267
9595321,2019-01-13 15:19:22+00,16.23463249,-61.53775024
9247455,2019-01-13 15:06:42+00,13.33166695,73.16166687
9247455,2019-01-13 15:00:39+00,13.31696033,73.17418671
9595321,2019-01-13 14:58:18+00,16.23463249,-61.53775024
9595321,2019-01-13 14:40:21+00,16.23463249,-61.53775024
9595321,2019-01-13 14:28:19+00,16.23463249,-61.53775024
9595321,2019-01-13 14:16:19+00,16.23463249,-61.53775024
9595321,2019-01-13 13:58:20+00,16.23463249,-61.53775024
9595321,2019-01-13 13:40:18+00,16.23463249,-61.53775024
9595321,2019-01-13 13:34:19+00,16.23463249,-61.53775024
9595321,2019-01-13 13:19:19+00,16.23463249,-61.53775024
9595321,2019-01-13 13:04:20+00,16.23463249,-61.53775024
9595321,2019-01-13 12:40:19+00,16.23463249,-61.53775024
9595321,2019-01-13 12:25:21+00,16.23463249,-61.53775024
9595321,2019-01-13 12:10:19+00,16.23463249,-61.53775024
9595321,2019-01-13 12:04:22+00,16.23463249,-61.53775024
9632179,2019-01-13 11:50:47+00,43.0436821,-9.778532982
9595321,2019-01-13 11:47:12+00,16.2336998,-61.53755188
9595321,2019-01-13 11:36:40+00,16.23155022,-61.53906631
9595321,2019-01-13 11:27:02+00,16.21453285,-61.53141785
9595321,2019-01-13 11:21:44+00,16.1977005,-61.52813339
9595321,2019-01-13 11:11:58+00,16.17061615,-61.5484848
9595321,2019-01-13 10:56:10+00,16.13113403,-61.50511551
9595321,2019-01-13 10:41:34+00,16.08046722,-61.4990654
9247455,2019-01-13 10:37:56+00,12.61902332,73.7382431
9595321,2019-01-13 10:26:33+00,16.02088356,-61.4980011
9595321,2019-01-13 10:20:57+00,15.99858379,-61.49763489
9595321,2019-01-13 10:11:09+00,15.95943356,-61.49686813
9595321,2019-01-13 10:04:59+00,15.93508339,-61.49656677
9595321,2019-01-13 09:56:03+00,15.89991665,-61.49598312
9595321,2019-01-13 09:48:03+00,15.86800003,-61.49546814
9595321,2019-01-13 09:39:03+00,15.83176708,-61.49728394
9632179,2019-01-13 09:30:43+00,42.37488174,-9.786950111
9632179,2019-01-13 09:19:53+00,42.32279968,-9.786600113
9595321,2019-01-13 09:13:57+00,15.73626709,-61.52686691
9595321,2019-01-13 08:46:45+00,15.63458347,-61.55521774
9595321,2019-01-13 08:37:22+00,15.60385036,-61.57423401
9595321,2019-01-13 08:19:22+00,15.53680038,-61.59793472
9595321,2019-01-13 08:14:16+00,15.51760006,-61.60363388
9595321,2019-01-13 07:50:38+00,15.43241692,-61.63266754
9595321,2019-01-13 07:44:36+00,15.41075039,-61.63999939
9595321,2019-01-13 07:38:36+00,15.38899994,-61.64746857
9595321,2019-01-13 07:29:45+00,15.35735035,-61.65814972
9595321,2019-01-13 07:15:57+00,15.30726624,-61.65571594
9595321,2019-01-13 07:04:07+00,15.26586628,-61.63791656
9595321,2019-01-13 06:56:36+00,15.2395668,-61.62668228
9595321,2019-01-13 06:38:07+00,15.17358303,-61.59848404
9595321,2019-01-13 06:22:09+00,15.11991692,-61.57564926
9632179,2019-01-13 06:20:07+00,41.44333267,-9.778333664
9632179,2019-01-13 06:14:29+00,41.41568375,-9.778650284
9595321,2019-01-13 06:12:08+00,15.08975029,-61.56253433
9595321,2019-01-13 06:01:48+00,15.05895042,-61.54935074
